Grade,Course,Period,Room,Mark1
10,PPF41Q2B,2,GYM1,100
10,SEF41,2,B30,77
9,MGF41,2,103,76
9,PPF41Q2G,2,GYM2,96
10,PPF41Q2G,2,GYM2,100
9,HQF41QHB,2,333,86
9,SLF41,2,332,68
9,PPF41Q2G,2,GYM2,96
12,FSFC9,2,123,68
9,SCF41,2,138,85
9,PPF41Q3B,2,GYM1,65
12,PPF41Q2G,2,GYM2,90
9,FSFC5,2,113,76
12,EEF21U,2,349,90
9,PPF41Q3B,2,GYM1,100
9,EEFG1QB,2,330,82
11,UEFG9,2,B27,45
10,HUF41QT,2,124,83
10,HGF85QF,2,321,77
12,EEFGDUTJ,2,B6,72
11,SCF41,2,138,65
9,PPF41Q3G,2,GYM2,95
11,FFFC5H,2,111,90
10,EEFG5QT,2,249,65
10,FJFC5,2,126,85
10,FJFC5,2,126,86
9,MQF41QTF,2,106,86
11,FLFC9,2,121,70
9,HGF81HQD,2,316,90
9,PPF41Q2B,2,GYM3,90
10,BCF41T,2,108,85
10,UAF41Q3,2,227,75
9,ULFC1TP,2,B39,45
9,PHF41H2,2,B17,98
9,PPF41Q3G,2,GYM2,93
9,MQF21C,2,208,65
9,SCF41H,2,141,91
10,EEF21C,2,350,68
9,HGF81QGD,2,313,86
9,HGF81HF,2,326,90
9,SLF41QB,2,229,69
11,SWF41HG,2,231,94
9,SEF41,2,B30,78
11,EEFGDUQF,2,336,88
11,EEFG9UQX,2,125,91
9,PHF41Q2,2,B17,65
9,PPF41Q3B,2,GYM1,90
11,EEFG9,2,334B,65
9,EEFG1QGB,2,250,72
10,SCF41,2,141,55
9,MGF41,2,103,80
12,HFF41,2,323,86
10,HFF41,2,323,65
11,MPF41UQJ,2,214,96
9,PPF41Q2B,2,GYM3,90
9,PPF41Q3B,2,GYM1,90
10,FMFC5H,2,115,92
9,HGF81HF,2,326,90
12,FLFC9H,2,121,100
9,EEFG1QB,2,330,81
12,FSFC9H,2,123,92
9,FSFC5,2,113,80
10,HFF41H,2,323,90
11,MRF41,2,225,68
9,SLF41QWB,2,328B,65
10,EEFGDQG,2,246,80
11,SRF21U,2,346,65
11,EEFGDUQJ,2,348,65
12,EEF21U,2,347,86
10,UAF85Q2,2,227,45
11,UEFG9H,2,B27,90
11,FSFC9,2,123,88
11,BCF41T,2,108,88
11,PPF41Q3B,2,GYM3,90
9,PPF41Q2G,2,GYM2,95
10,HUF41UQX,2,325,93
12,BCF41T,2,108,97
12,PPF41Q2B,2,GYM3,90
11,HFF41X,2,324,86
9,MEF41,2,219,82
12,SPF41H,2,238,95
9,MGF41QWF,2,107,65
9,HFF41,2,323,77
11,HFF41X,2,324,83
11,EEF21U,2,347,95
12,UEFGD,2,B27,85
12,EEF21U,2,347,88
11,EEFG9UQX,2,125,93
10,SCF41,2,138,79
12,MPF21U,2,205,98
9,HGF81QGD,2,311,88
9,PPF41Q3B,2,GYM1,100
11,MPF41UQJ,2,214,82
11,HFF41X,2,324,84
11,MPF41UQJ,2,214,87
ST,MEF41,2,203,85
10,SCF41H,2,141,93
11,MRF41,2,225,70
12,MQF41QGF,2,106,70
11,BCF41T,2,108,90
10,HUF41H,2,338,90
12,HBF21U,2,314,75
11,SRF21U,2,346,88
11,SRF21U,2,346,65
9,HGF81QQD,2,316,65
9,MQF41QGF,2,106,65
10,BCF41T,2,108,92
11,PPF41Q2B,2,GYM3,65
9,SLF41QB,2,229,69
12,MPF21U,2,205,83
9,PPF41Q3B,2,GYM1,80
9,FSFC5,2,113,81
10,PPF41Q3B,2,GYM1,80
10,UAF85Q2,2,227,87
9,HGF81QQD,2,316,75
11,PPF41Q2G,2,GYM2,97
12,MRF41,2,211,65
9,SLF41QWB,2,328B,65
10,EEFG5QT,2,249,77
11,EEFGDUQF,2,336,85
9,HGF85QF,2,321,71
12,HBF21U,2,314,98
10,PPF41Q3G,2,GYM2,100
10,FJFC5H,2,126,100
12,SCF41,2,138,65
9,EEFG1QB,2,330,71
10,BCF41T,2,108,82
10,PWF41Q3B,2,POOL,88
11,HGF81QF,2,326,77
